mcf:sourceMediumPath,mcf:totalConversions,mcf:totalConversionValue
tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner -> tudou / banner,42,0.0
tudou / banner -> tudou / banner -> (direct) / (none),34,0.0
tudou / banner -> (direct) / (none),136,0.0
tudou / banner -> tudou.com / referral,51,0.0
tudou / banner -> tudou.com / referral -> tudou / banner,17,0.0
youku / banner,54536,0.0
youku / banner -> baidu / cpc,42,0.0
youku / banner -> pptv / banner,17,0.0
youku / banner -> pptv / banner -> tudou / banner,17,0.0
youku / banner -> youku / banner,75,0.0
youku / banner -> pps / clientend,17,0.0
youku / banner -> (direct) / (none),42,0.0
Tencent / share,262,0.0
Tencent / share -> baidu / organic,17,0.0
baidu / organic,3075,0.0
baidu / organic -> baidu / cpc,271,0.0
baidu / organic -> baidu / cpc -> baidu / cpc,93,0.0
baidu / organic -> baidu / cpc -> baidu / cpc -> baidu / cpc -> baidu / cpc,17,0.0
baidu / organic -> baidu / cpc -> baidu / cpc -> (direct) / (none),42,0.0
baidu / organic -> baidu / cpc -> baidu / cpc -> (direct) / (none) -> baidu / organic,17,0.0
baidu / organic -> baidu / cpc -> baidu / organic,25,0.0
baidu / organic -> Qzone / share,17,0.0
baidu / organic -> (direct) / (none),51,0.0
baidu / organic -> (direct) / (none) -> baidu / cpc,8,0.0
baidu / organic -> (direct) / (none) -> (direct) / (none),25,0.0
pps / clientend,86232,0.0
pps / clientend -> baidu / cpc,51,0.0
pps / clientend -> pps / banner,42,0.0
pps / clientend -> pps / banner -> baidu / cpc,17,0.0
pps / clientend -> tudou / video,42,0.0
pps / clientend -> tudou / video -> tudou / video,25,0.0
pps / clientend -> pps / clientend,1606,0.0
pps / clientend -> pps / clientend -> tudou / banner,42,0.0
pps / clientend -> pps / clientend -> pps / clientend,153,0.0
pps / clientend -> pps / clientend -> pps / clientend -> pps / clientend,34,0.0
pps / clientend -> (direct) / (none),255,0.0
pps / clientend -> (direct) / (none) -> pps / clientend,67,0.0
pps / clientend -> letv.com / referral,17,0.0
pps / clientend -> tudou.com / referral,17,0.0
pps / clientend -> tudou.com / referral -> tudou.com / referral,17,0.0
sogou / organic,849,0.0
sogou / organic -> (direct) / (none),42,0.0
sogou / organic -> (direct) / (none) -> sogou / organic,17,0.0
yahoo / organic,17,0.0
(direct) / (none),1309848,0.0
(direct) / (none) -> baidu / cpc,5820,0.0
(direct) / (none) -> baidu / cpc -> baidu / cpc,441,0.0
(direct) / (none) -> baidu / cpc -> baidu / cpc -> baidu / cpc,127,0.0
(direct) / (none) -> baidu / cpc -> baidu / cpc -> baidu / cpc -> (direct) / (none),17,0.0
(direct) / (none) -> baidu / cpc -> (direct) / (none),127,0.0
(direct) / (none) -> baidu / cpc -> (direct) / (none) -> (direct) / (none),17,0.0
(direct) / (none) -> baidu / cpc -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),17,0.0
(direct) / (none) -> pps / video,94,0.0
(direct) / (none) -> 10.161.120.192 / referral -> 10.161.120.192 / referral -> (direct) / (none),17,0.0
(direct) / (none) -> 10.161.120.192 / referral -> 10.161.120.192 / referral -> (direct) / (none) -> (direct) / (none),17,0.0
(direct) / (none) -> js.tudouui.com / referral,17,0.0
(direct) / (none) -> yule.iqiyi.com / referral,42,0.0
(direct) / (none) -> madisonboom.com / referral,42,0.0
(direct) / (none) -> snickers.com.cn / referral,51,0.0
(direct) / (none) -> snickers.com.cn / referral -> (direct) / (none),42,0.0
(direct) / (none) -> snickers.com.cn / referral -> (direct) / (none) -> snickers.com.cn / referral,17,0.0
(direct) / (none) -> snickers.com.cn / referral -> (direct) / (none) -> snickers.com.cn / referral -> snickers.com.cn / referral,59,0.0
(direct) / (none) -> snickers.com.cn / referral -> (direct) / (none) -> snickers.com.cn / referral -> snickers.com.cn / referral -> snickers.com.cn / referral,17,0.0
(direct) / (none) -> snickers.com.cn / referral -> snickers.com.cn / referral,17,0.0
(direct) / (none) -> snickers.com.cn / referral -> snickers.com.cn / referral -> 10.161.120.192 / referral,17,0.0
(direct) / (none) -> snickers.com.cn / referral -> snickers.com.cn / referral -> 10.161.120.192 / referral -> (direct) / (none),51,0.0
(direct) / (none) -> snickers.com.cn / referral -> snickers.com.cn / referral -> 10.161.120.192 / referral -> (direct) / (none) -> (direct) / (none) -> 10.161.120.192 / referral,42,0.0
(direct) / (none) -> snickers.com.cn / referral -> snickers.com.cn / referral -> 10.161.120.192 / referral -> (direct) / (none) -> (direct) / (none) -> 10.161.120.192 / referral -> (direct) / (none),42,0.0
(direct) / (none) -> snickers.com.cn / referral -> snickers.com.cn / referral -> 10.161.120.192 / referral -> (direct) / (none) -> (direct) / (none) -> 10.161.120.192 / referral -> (direct) / (none) -> 10.161.120.192 / referral,17,0.0
(direct) / (none) -> snickers.com.cn / referral -> snickers.com.cn / referral -> 10.161.120.192 / referral -> (direct) / (none) -> (direct) / (none) -> 10.161.120.192 / referral -> (direct) / (none) -> 10.161.120.192 / referral -> (direct) / (none),17,0.0
(direct) / (none) -> snickers.com.cn / referral -> snickers.com.cn / referral -> 10.161.120.192 / referral -> (direct) / (none) -> (direct) / (none) -> 10.161.120.192 / referral -> (direct) / (none) -> 10.161.120.192 / referral -> (direct) / (none) -> 10.161.120.192 / referral,25,0.0
(direct) / (none) -> video.hao123.com / referral,17,0.0
(direct) / (none) -> Sina / share,59,0.0
(direct) / (none) -> pps / banner,17,0.0
(direct) / (none) -> pptv / video,25,0.0
(direct) / (none) -> pptv / video -> (direct) / (none) -> pptv / video,17,0.0
(direct) / (none) -> Qzone / share,117,0.0
(direct) / (none) -> Qzone / share -> Qzone / share,34,0.0
(direct) / (none) -> Qzone / share -> Qzone / share -> Qzone / share,25,0.0
(direct) / (none) -> Qzone / share -> (direct) / (none),25,0.0
(direct) / (none) -> iqiyi / video,664,0.0
(direct) / (none) -> iqiyi / video -> tudou / video,17,0.0
(direct) / (none) -> iqiyi / video -> iqiyi / video,17,0.0
(direct) / (none) -> iqiyi / video -> (direct) / (none),93,0.0
(direct) / (none) -> pptv / banner,34,0.0
(direct) / (none) -> tudou / video,1689,0.0
(direct) / (none) -> tudou / video -> (direct) / (none),93,0.0
(direct) / (none) -> tudou / video -> tudou.com / referral,17,0.0
(direct) / (none) -> youku / video,768,0.0
(direct) / (none) -> youku / video -> (direct) / (none),59,0.0
(direct) / (none) -> youku / video -> (direct) / (none) -> youku / video,17,0.0
(direct) / (none) -> iqiyi / banner,204,0.0
(direct) / (none) -> tudou / banner,119,0.0
(direct) / (none) -> youku / banner,60,0.0
(direct) / (none) -> Tencent / share,25,0.0
(direct) / (none) -> baidu / organic,85,0.0
(direct) / (none) -> pps / clientend,153,0.0
(direct) / (none) -> pps / clientend -> pps / clientend,17,0.0
(direct) / (none) -> sogou / organic,51,0.0
(direct) / (none) -> sogou / organic -> (direct) / (none),42,0.0
(direct) / (none) -> (direct) / (none),33462,0.0
(direct) / (none) -> (direct) / (none) -> baidu / cpc,169,0.0
(direct) / (none) -> (direct) / (none) -> 10.161.120.192 / referral -> (direct) / (none) -> 10.161.120.192 / referral,17,0.0
(direct) / (none) -> (direct) / (none) -> 10.161.120.192 / referral -> (direct) / (none) -> 10.161.120.192 / referral -> (direct) / (none) -> 10.161.120.192 / referral -> (direct) / (none) -> 10.161.120.192 / referral -> 10.161.120.192 / referral,17,0.0
(direct) / (none) -> (direct) / (none) -> iqiyi / video,17,0.0
(direct) / (none) -> (direct) / (none) -> tudou / video,17,0.0
(direct) / (none) -> (direct) / (none) -> youku / video,42,0.0
(direct) / (none) -> (direct) / (none) -> iqiyi / banner,17,0.0
(direct) / (none) -> (direct) / (none) -> pps / clientend,17,0.0
(direct) / (none) -> (direct) / (none) -> (direct) / (none),5208,0.0
(direct) / (none) -> (direct) / (none) -> (direct) / (none) -> 10.161.120.192 / referral -> (direct) / (none),17,0.0
(direct) / (none) -> (direct) / (none) -> (direct) / (none) -> tudou / video,84,0.0
(direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),1471,0.0
(direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),876,0.0
(direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),696,0.0
(direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),357,0.0
(direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> jxad.jx163.com / referral -> jxad.jx163.com / referral -> (direct) / (none),17,0.0
(direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),272,0.0
(direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),289,0.0
(direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),289,0.0
(direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),204,0.0
(direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),153,0.0
(direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),187,0.0
(direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),136,0.0
(direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),136,0.0
(direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),170,0.0
(direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),153,0.0
(direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),153,0.0
(direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),136,0.0
(direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),51,0.0
(direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),85,0.0
(direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),51,0.0
(direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),34,0.0
(direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),34,0.0
(direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),119,0.0
(direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),17,0.0
(direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),51,0.0
(direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),51,0.0
(direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),85,0.0
(direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),17,0.0
(direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> Youku / pre-roll,17,0.0
(direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> iqiyi.com / referral,17,0.0
(direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> 58.17.218.132 / referral,17,0.0
(direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> 58.17.218.132 / referral -> (direct) / (none) -> (direct) / (none),17,0.0
(direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> 58.17.218.132 / referral -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> Tencent / pre-roll,17,0.0
(direct) / (none) -> (direct) / (none) -> (direct) / (none) -> hao.360.cn / referral,25,0.0
(direct) / (none) -> (direct) / (none) -> Tudou / pre-roll,68,0.0
(direct) / (none) -> (direct) / (none) -> Youku / pre-roll,59,0.0
(direct) / (none) -> (direct) / (none) -> iQiyi / pre-roll,93,0.0
(direct) / (none) -> (direct) / (none) -> Tencent / pre-roll -> Tencent / pre-roll -> (direct) / (none),17,0.0
(direct) / (none) -> (direct) / (none) -> letv.com / referral,34,0.0
(direct) / (none) -> (direct) / (none) -> iqiyi.com / referral,34,0.0
(direct) / (none) -> (direct) / (none) -> iqiyi.com / referral -> iqiyi / banner,17,0.0
(direct) / (none) -> (direct) / (none) -> tudou.com / referral,51,0.0
(direct) / (none) -> (direct) / (none) -> hao.360.cn / referral,17,0.0
(direct) / (none) -> (direct) / (none) -> e.weibo.com / referral,17,0.0
(direct) / (none) -> Tudou / pre-roll,868,0.0
(direct) / (none) -> Tudou / pre-roll -> (direct) / (none),109,0.0
(direct) / (none) -> Tudou / pre-roll -> Tudou / pre-roll,17,0.0
(direct) / (none) -> Youku / pre-roll,697,0.0
(direct) / (none) -> Youku / pre-roll -> (direct) / (none),59,0.0
(direct) / (none) -> iQiyi / pre-roll,1021,0.0
(direct) / (none) -> iQiyi / pre-roll -> (direct) / (none),17,0.0
(direct) / (none) -> 4.4.8.7 / referral,17,0.0
(direct) / (none) -> Tencent / pre-roll,663,0.0
(direct) / (none) -> Tencent / pre-roll -> (direct) / (none),127,0.0
(direct) / (none) -> Tencent / pre-roll -> (direct) / (none) -> Tencent / pre-roll,17,0.0
(direct) / (none) -> Tencent / pre-roll -> Tencent / pre-roll -> Tencent / pre-roll,25,0.0
(direct) / (none) -> letv.com / referral,288,0.0
(direct) / (none) -> bjpyb.com / referral -> (direct) / (none),17,0.0
(direct) / (none) -> iqiyi.com / referral,960,0.0
(direct) / (none) -> iqiyi.com / referral -> baidu / cpc,34,0.0
(direct) / (none) -> iqiyi.com / referral -> tudou / video,17,0.0
(direct) / (none) -> iqiyi.com / referral -> (direct) / (none),110,0.0
(direct) / (none) -> iqiyi.com / referral -> iqiyi.com / referral,25,0.0
(direct) / (none) -> iqiyi.com / referral -> iqiyi.com / referral -> iqiyi.com / referral,25,0.0
(direct) / (none) -> iqiyi.com / referral -> iqiyi.com / referral -> iqiyi.com / referral -> (direct) / (none),25,0.0
(direct) / (none) -> tudou.com / referral,1388,0.0
(direct) / (none) -> tudou.com / referral -> (direct) / (none),34,0.0
(direct) / (none) -> tudou.com / referral -> (direct) / (none) -> tudou.com / referral,17,0.0
(direct) / (none) -> tudou.com / referral -> tudou.com / referral,59,0.0
(direct) / (none) -> weibo.com / referral,17,0.0
(direct) / (none) -> weibo.com / referral -> snickers.com.cn / referral,17,0.0
(direct) / (none) -> weibo.com / referral -> snickers.com.cn / referral -> snickers.com.cn / referral,17,0.0
(direct) / (none) -> weibo.com / referral -> snickers.com.cn / referral -> snickers.com.cn / referral -> snickers.com.cn / referral,17,0.0
(direct) / (none) -> weibo.com / referral -> snickers.com.cn / referral -> snickers.com.cn / referral -> snickers.com.cn / referral -> snickers.com.cn / referral,17,0.0
(direct) / (none) -> weibo.com / referral -> snickers.com.cn / referral -> snickers.com.cn / referral -> snickers.com.cn / referral -> snickers.com.cn / referral -> snickers.com.cn / referral,17,0.0
(direct) / (none) -> weibo.com / referral -> snickers.com.cn / referral -> snickers.com.cn / referral -> snickers.com.cn / referral -> snickers.com.cn / referral -> snickers.com.cn / referral -> snickers.com.cn / referral,17,0.0
(direct) / (none) -> weibo.com / referral -> snickers.com.cn / referral -> snickers.com.cn / referral -> snickers.com.cn / referral -> snickers.com.cn / referral -> snickers.com.cn / referral -> snickers.com.cn / referral -> snickers.com.cn / referral,17,0.0
(direct) / (none) -> weibo.com / referral -> snickers.com.cn / referral -> snickers.com.cn / referral -> snickers.com.cn / referral -> snickers.com.cn / referral -> snickers.com.cn / referral -> snickers.com.cn / referral -> snickers.com.cn / referral -> snickers.com.cn / referral,17,0.0
(direct) / (none) -> hao.360.cn / referral,93,0.0
(direct) / (none) -> kankan.com / referral,153,0.0
(direct) / (none) -> xunlei.com / referral,127,0.0
(direct) / (none) -> e.weibo.com / referral,42,0.0
(direct) / (none) -> v.youku.com / referral,178,0.0
(direct) / (none) -> v.youku.com / referral -> (direct) / (none),17,0.0
(direct) / (none) -> v.youku.com / referral -> (direct) / (none) -> v.youku.com / referral -> v.youku.com / referral,42,0.0
(direct) / (none) -> player.letvcdn.com / referral,34,0.0
(direct) / (none) -> player.letvcdn.com / referral -> player.letvcdn.com / referral,17,0.0
(direct) / (none) -> en.campaignchina.com / referral -> baidu / cpc,25,0.0
Tudou / pre-roll,104191,0.0
Tudou / pre-roll -> (direct) / (none),187,0.0
Tudou / pre-roll -> (direct) / (none) -> Tudou / pre-roll,110,0.0
Tudou / pre-roll -> Tudou / pre-roll,1327,0.0
Tudou / pre-roll -> Tudou / pre-roll -> Tudou / pre-roll,51,0.0
Tudou / pre-roll -> Youku / pre-roll,246,0.0
Tudou / pre-roll -> Youku / pre-roll -> Tudou / pre-roll,34,0.0
Tudou / pre-roll -> Youku / pre-roll -> iQiyi / pre-roll -> Tudou / pre-roll -> Tudou / pre-roll,17,0.0
Tudou / pre-roll -> Youku / pre-roll -> iQiyi / pre-roll -> Tudou / pre-roll -> Tudou / pre-roll -> iQiyi / pre-roll,25,0.0
Tudou / pre-roll -> iQiyi / pre-roll,272,0.0
Tudou / pre-roll -> Tencent / pre-roll,177,0.0
Tudou / pre-roll -> tudou.com / referral,17,0.0
Youku / pre-roll,137238,0.0
Youku / pre-roll -> (direct) / (none),238,0.0
Youku / pre-roll -> (direct) / (none) -> Youku / pre-roll,34,0.0
Youku / pre-roll -> Tudou / pre-roll,272,0.0
Youku / pre-roll -> Tudou / pre-roll -> Tudou / pre-roll,17,0.0
Youku / pre-roll -> Youku / pre-roll,1987,0.0
Youku / pre-roll -> Youku / pre-roll -> (direct) / (none),42,0.0
Youku / pre-roll -> Youku / pre-roll -> Youku / pre-roll,93,0.0
Youku / pre-roll -> Youku / pre-roll -> Youku / pre-roll -> Youku / pre-roll,84,0.0
Youku / pre-roll -> iQiyi / pre-roll,186,0.0
Youku / pre-roll -> Tencent / pre-roll,76,0.0
Youku / pre-roll -> Tencent / pre-roll -> iQiyi / pre-roll,34,0.0
Youku / pre-roll -> Tencent / pre-roll -> iQiyi / pre-roll -> iQiyi / pre-roll,25,0.0
google / organic,34,0.0
google / organic -> youku / banner,34,0.0
iQiyi / pre-roll,168456,0.0
iQiyi / pre-roll -> (direct) / (none),178,0.0
iQiyi / pre-roll -> (direct) / (none) -> iQiyi / pre-roll,126,0.0
iQiyi / pre-roll -> (direct) / (none) -> Tencent / pre-roll,17,0.0
iQiyi / pre-roll -> Tudou / pre-roll,178,0.0
iQiyi / pre-roll -> Tudou / pre-roll -> Youku / pre-roll,34,0.0
iQiyi / pre-roll -> Tudou / pre-roll -> Youku / pre-roll -> Tudou / pre-roll,25,0.0
iQiyi / pre-roll -> Youku / pre-roll,313,0.0
iQiyi / pre-roll -> Youku / pre-roll -> (direct) / (none) -> Youku / pre-roll,42,0.0
iQiyi / pre-roll -> iQiyi / pre-roll,2116,0.0
iQiyi / pre-roll -> iQiyi / pre-roll -> (direct) / (none),17,0.0
iQiyi / pre-roll -> iQiyi / pre-roll -> iQiyi / pre-roll,119,0.0
iQiyi / pre-roll -> Tencent / pre-roll,118,0.0
so.360 / organic,110,0.0
9ku.tv / referral,17,0.0
1.5.6.3 / referral,17,0.0
5.9.0.5 / referral,17,0.0
Sina / sharebutton,42,0.0
Tencent / pre-roll,125491,0.0
Tencent / pre-roll -> static.youku.com / referral,34,0.0
Tencent / pre-roll -> (direct) / (none),373,0.0
Tencent / pre-roll -> (direct) / (none) -> Tencent / pre-roll,195,0.0
Tencent / pre-roll -> (direct) / (none) -> Tencent / pre-roll -> Tencent / pre-roll,17,0.0
Tencent / pre-roll -> Tudou / pre-roll,34,0.0
Tencent / pre-roll -> Youku / pre-roll,17,0.0
Tencent / pre-roll -> iQiyi / pre-roll,169,0.0
Tencent / pre-roll -> Tencent / pre-roll,1661,0.0
Tencent / pre-roll -> Tencent / pre-roll -> (direct) / (none),84,0.0
Tencent / pre-roll -> Tencent / pre-roll -> Tencent / pre-roll,85,0.0
Tencent / pre-roll -> Tencent / pre-roll -> Tencent / pre-roll -> Tencent / pre-roll,17,0.0
Tencent / pre-roll -> tencent / pre-roll,17,0.0
dou6.cc / referral,17,0.0
uuuu.cc / referral,17,0.0
mars.com / referral,67,0.0
mars.com / referral -> sogou / organic,42,0.0
mjoon.tv / referral,144,0.0
mjoon.tv / referral -> mjoon.tv / referral,17,0.0
hzim.org / referral,42,0.0
letv.com / referral,24482,0.0
letv.com / referral -> baidu / cpc,68,0.0
letv.com / referral -> baidu / cpc -> tudou.com / referral,34,0.0
letv.com / referral -> tudou / video,17,0.0
letv.com / referral -> iqiyi / video,17,0.0
