mcf:sourceMediumPath,mcf:totalConversions,mcf:totalConversionValue
baidu / cpc -> yule.iqiyi.com / referral -> baidu / cpc,17,0.0
baidu / cpc -> snickers.com.cn / referral,185,0.0
baidu / cpc -> static.youku.com / referral,17,0.0
baidu / cpc -> player.letvcdn.com / referral,17,0.0
pps / video,22381,0.0
pps / video -> baidu / cpc,25,0.0
pps / video -> pps / video,621,0.0
pps / video -> pps / video -> pps / video,51,0.0
pps / video -> pps / video -> pps / video -> pps / video,76,0.0
pps / video -> pps / video -> pps / video -> pps / video -> pps / video,25,0.0
pps / video -> pps / video -> pps / video -> pps / video -> pps / video -> pps / video,42,0.0
pps / video -> pps / video -> pps / video -> pps / video -> pps / video -> pps / video -> pps / video,25,0.0
pps / video -> pps / banner,42,0.0
pps / video -> youku / video,17,0.0
pps / video -> pps / clientend,17,0.0
pps / video -> tudou.com / referral,59,0.0
10.161.120.192 / referral -> snickers.com.cn / referral,17,0.0
121.17.125.243 / referral,17,0.0
1korean.com.sg / referral,17,0.0
61.132.216.226 / referral,34,0.0
61.132.255.198 / referral,212,0.0
blog.harot.org / referral,17,0.0
dramabang2.net / referral,161,0.0
dramastyle.com / referral,237,0.0
dream.letv.com / referral,17,0.0
freshupnow.com / referral,449,0.0
igogoshare.com / referral,17,0.0
jxad.jx163.com / referral,153,0.0
js.tudouui.com / referral,13680,0.0
js.tudouui.com / referral -> tudou / video,51,0.0
js.tudouui.com / referral -> tudou / video -> (direct) / (none) -> (direct) / (none),17,0.0
js.tudouui.com / referral -> tudou / video -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),17,0.0
js.tudouui.com / referral -> tudou / video -> player.letvcdn.com / referral,42,0.0
js.tudouui.com / referral -> tudou / video -> player.letvcdn.com / referral -> iqiyi / banner,17,0.0
js.tudouui.com / referral -> iqiyi / video,25,0.0
js.tudouui.com / referral -> iqiyi / video -> iqiyi / banner,17,0.0
js.tudouui.com / referral -> (direct) / (none),102,0.0
js.tudouui.com / referral -> (direct) / (none) -> (direct) / (none),51,0.0
js.tudouui.com / referral -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),34,0.0
js.tudouui.com / referral -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),17,0.0
js.tudouui.com / referral -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),34,0.0
js.tudouui.com / referral -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),34,0.0
js.tudouui.com / referral -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),17,0.0
js.tudouui.com / referral -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),17,0.0
js.tudouui.com / referral -> (direct) / (none) -> js.tudouui.com / referral,17,0.0
js.tudouui.com / referral -> Tencent / pre-roll,17,0.0
js.tudouui.com / referral -> tudou.com / referral,25,0.0
js.tudouui.com / referral -> iqiyi.com / referral,76,0.0
js.tudouui.com / referral -> js.tudouui.com / referral,68,0.0
js.tudouui.com / referral -> static.youku.com / referral,17,0.0
kabayantv.info / referral,59,0.0
kncolorado.com / referral,17,0.0
pinoy-ako.info / referral,415,0.0
pp.ppsj.com.cn / referral,17,0.0
qq.hz.letv.com / referral,17,0.0
teluguwala.com / referral,17,0.0
thecinebay.com / referral,17,0.0
yule.iqiyi.com / referral,1970,0.0
yule.iqiyi.com / referral -> baidu / cpc,34,0.0
yule.iqiyi.com / referral -> tudou / video,34,0.0
yule.iqiyi.com / referral -> (direct) / (none),17,0.0
yule.iqiyi.com / referral -> iqiyi.com / referral,34,0.0
192.110.110.244 / referral,17,0.0
221.204.213.222 / referral,160,0.0
221.204.213.222 / referral -> (direct) / (none) -> (direct) / (none),17,0.0
221.231.148.253 / referral,17,0.0
madisonboom.com / referral,264,0.0
madisonboom.com / referral -> (direct) / (none),25,0.0
madisonboom.com / referral -> damndigital.com / referral,25,0.0
movie.youku.com / referral,17,0.0
baike.baidu.com / referral,203,0.0
cache.tv.qq.com / referral,17,0.0
cn.engadget.com / referral,17,0.0
damndigital.com / referral,1975,0.0
damndigital.com / referral -> (direct) / (none),42,0.0
damndigital.com / referral -> damndigital.com / referral,101,0.0
desifilms4u.com / referral,17,0.0
huati.weibo.com / referral,68,0.0
hubonlinetv.com / referral,17,0.0
imgcache.qq.com / referral,536,0.0
js.xigua110.com / referral,17,0.0
pinoylovers.com / referral,25,0.0
pinoylovetv.com / referral,17,0.0
proudlypinoy.tv / referral,34,0.0
samaikiller.com / referral,68,0.0
snickers.com.cn / referral,15746,0.0
snickers.com.cn / referral -> baidu / cpc,644,0.0
snickers.com.cn / referral -> baidu / cpc -> baidu / cpc,51,0.0
snickers.com.cn / referral -> baidu / cpc -> baidu / cpc -> baidu / cpc,34,0.0
snickers.com.cn / referral -> baidu / cpc -> snickers.com.cn / referral,42,0.0
snickers.com.cn / referral -> baidu / cpc -> snickers.com.cn / referral -> snickers.com.cn / referral,25,0.0
snickers.com.cn / referral -> baidu / cpc -> snickers.com.cn / referral -> (direct) / (none) -> (direct) / (none),17,0.0
snickers.com.cn / referral -> Sina / share,17,0.0
snickers.com.cn / referral -> Sina / share -> Sina / share,42,0.0
snickers.com.cn / referral -> Sina / share -> Sina / share -> Sina / share,34,0.0
snickers.com.cn / referral -> tudou / video,17,0.0
snickers.com.cn / referral -> baidu / organic,34,0.0
snickers.com.cn / referral -> (direct) / (none),118,0.0
snickers.com.cn / referral -> (direct) / (none) -> (direct) / (none),42,0.0
snickers.com.cn / referral -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),42,0.0
snickers.com.cn / referral -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none) -> (direct) / (none),17,0.0
snickers.com.cn / referral -> Tudou / pre-roll,17,0.0
snickers.com.cn / referral -> kankan.com / referral,17,0.0
snickers.com.cn / referral -> snickers.com.cn / referral,506,0.0
snickers.com.cn / referral -> snickers.com.cn / referral -> baidu / cpc,17,0.0
snickers.com.cn / referral -> snickers.com.cn / referral -> baidu / organic,17,0.0
snickers.com.cn / referral -> snickers.com.cn / referral -> (direct) / (none),17,0.0
snickers.com.cn / referral -> snickers.com.cn / referral -> 10.161.120.192 / referral -> (direct) / (none) -> (direct) / (none) -> 10.161.120.192 / referral -> (direct) / (none) -> 10.161.120.192 / referral -> (direct) / (none) -> 10.161.120.192 / referral -> (direct) / (none),17,0.0
snickers.com.cn / referral -> snickers.com.cn / referral -> 10.161.120.192 / referral -> (direct) / (none) -> (direct) / (none) -> 10.161.120.192 / referral -> (direct) / (none) -> 10.161.120.192 / referral -> (direct) / (none) -> 10.161.120.192 / referral -> (direct) / (none) -> 10.161.120.192 / referral,17,0.0
snickers.com.cn / referral -> snickers.com.cn / referral -> snickers.com.cn / referral,59,0.0
snickers.com.cn / referral -> snickers.com.cn / referral -> snickers.com.cn / referral -> snickers.com.cn / referral,17,0.0
telugunagar.com / referral,34,0.0
tieba.baidu.com / referral,261,0.0
videodesert.com / referral,51,0.0
www1.js.vnet.cn / referral,552,0.0
www1.js.vnet.cn / referral -> (direct) / (none),17,0.0
